iter	Passed	Remaining
866	16438	21482
867	16456	21461
868	16474	21441
869	16492	21421
870	16509	21400
871	16527	21378
872	16545	21359
873	16564	21340
874	16582	21319
875	16600	21299
876	16618	21280
877	16637	21261
878	16655	21240
879	16674	21222
880	16692	21201
881	16710	21182
882	16729	21162
883	16748	21144
884	16767	21125
885	16786	21106
886	16806	21088
887	16828	21073
888	16847	21054
889	16865	21034
890	16883	21014
891	16900	20992
892	16919	20973
893	16935	20951
894	16955	20933
895	16973	20913
896	16991	20893
897	17010	20874
898	17028	20854
899	17047	20835
900	17064	20815
901	17083	20795
902	17101	20775
903	17120	20756
904	17138	20736
905	17156	20716
906	17174	20696
907	17192	20677
908	17212	20658
909	17230	20638
910	17248	20619
911	17266	20598
912	17285	20579
913	17303	20560
914	17322	20540
915	17341	20521
916	17360	20503
917	17377	20482
918	17395	20461
919	17413	20441
920	17431	20421
921	17450	20403
922	17468	20383
923	17486	20363
924	17504	20342
925	17522	20322
926	17540	20302
927	17558	20282
928	17575	20262
929	17594	20242
930	17613	20224
931	17632	20205
932	17651	20187
933	17670	20167
934	17688	20148
935	17707	20128
936	17726	20109
937	17743	20089
938	17762	20070
939	17780	20049
940	17797	20029
941	17815	20009
942	17832	19988
943	17850	19968
944	17869	19949
945	17887	19929
946	17905	19909
947	17924	19890
948	17941	19869
949	17958	19849
950	17976	19828
951	17994	19809
952	18013	19789
953	18031	19770
954	18050	19751
955	18069	19732
956	18087	19713
957	18105	19693
958	18124	19673
959	18142	19653
960	18161	19635
961	18178	19615
962	18196	19595
963	18214	19575
964	18233	19556
965	18252	19537
966	18270	19517
967	18288	19497
968	18306	19478
969	18325	19458
970	18344	19439
971	18362	19420
972	18380	19400
973	18398	19380
974	18418	19363
975	18436	19343
976	18456	19325
977	18473	19304
978	18492	19285
979	18511	19266
980	18530	19248
981	18547	19227
982	18565	19207
983	18583	19188
984	18602	19168
985	18620	19149
986	18639	19130
987	18658	19112
988	18677	19092
989	18696	19073
990	18715	19055
991	18732	19034
992	18750	19015
993	18769	18995
994	18787	18975
995	18804	18956
996	18823	18937
997	18840	18916
998	18858	18896
999	18875	18875
1000	18894	18856
1001	18912	18836
1002	18930	18817
1003	18949	18798
1004	18967	18778
1005	18984	18758
1006	19003	18738
1007	19021	18719
1008	19039	18699
1009	19057	18680
1010	19075	18660
1011	19094	18641
1012	19112	18622
1013	19130	18602
1014	19149	18583
1015	19167	18563
1016	19185	18544
1017	19204	18525
1018	19221	18504
1019	19240	18485
1020	19258	18465
1021	19275	18446
1022	19294	18426
1023	19311	18406
1024	19331	18388
1025	19350	18369
1026	19368	18350
1027	19387	18331
1028	19405	18311
1029	19424	18292
1030	19442	18272
1031	19460	18253
1032	19480	18235
1033	19497	18214
1034	19516	18196
1035	19535	18177
1036	19554	18158
1037	19571	18138
1038	19590	18119
1039	19608	18100
1040	19627	18081
1041	19645	18061
1042	19663	18042
1043	19682	18023
1044	19701	18004
1045	19719	17985
1046	19738	17966
1047	19757	17948
1048	19776	17929
1049	19795	17910
1050	19813	17890
1051	19831	17871
1052	19849	17851
1053	19866	17831
1054	19885	17812
1055	19904	17793
1056	19923	17774
1057	19941	17755
1058	19958	17734
1059	19977	17715
1060	19996	17697
1061	20015	17678
